day,temperature_2m,apparent_temperature,et0_fao_evapotranspiration,soil_temperature_0_to_7cm
2022-07-30,28.872665,33.63869,0.1924181,29.16004
2022-07-31,28.3935,33.137573,0.17617,29.16004
2022-08-01,27.501833,32.727337,0.15031268,29.16004
2022-08-02,27.503916,32.556133,0.111066096,29.16004
2022-08-03,28.130999,32.803905,0.20781197,29.16004
2022-08-04,27.560165,32.029552,0.19745241,29.16004
2022-08-05,27.310165,31.427,0.17720394,29.16004
2022-08-06,26.031,30.178438,0.1150301,29.16004
2022-08-07,25.872665,29.249933,0.12241442,29.16004
2022-08-08,24.876833,28.421286,0.05583665,29.16004
2022-08-09,25.0185,28.755653,0.054200035,29.16004
2022-08-10,27.4935,30.80762,0.23143727,29.16004
2022-08-11,27.126833,30.81582,0.17841996,29.16004
2022-08-12,28.193499,32.7087,0.22738995,29.16004
2022-08-13,29.289331,33.53549,0.24668334,29.16004
2022-08-14,29.901833,34.40434,0.25694984,29.16004
2022-08-15,27.222666,32.169834,0.097543746,29.16004
2022-08-16,27.951834,32.438976,0.21836384,29.16004
2022-08-17,27.864334,32.133392,0.17287607,29.16004
2022-08-18,28.556,32.771976,0.18179752,29.16004
2022-08-19,28.1185,32.46565,0.19430202,29.16004
2022-08-20,27.085167,31.67375,0.16411106,29.16004
2022-08-21,27.385168,32.18632,0.19973326,29.16004
2022-08-22,28.051834,32.788177,0.19512166,29.16004
2022-08-23,28.056,32.550495,0.15689968,29.16004
2022-08-24,27.7935,32.3469,0.1776285,29.16004
2022-08-25,27.447668,32.031563,0.18656935,29.16004
2022-08-26,27.443499,31.553732,0.16606201,29.16004
2022-08-27,28.806,33.67572,0.24342881,29.16004
2022-08-28,28.410166,34.221603,0.20584768,29.16004
2022-08-29,28.676834,33.11452,0.2135672,29.16004
2022-08-30,28.526833,33.4885,0.1805772,29.16004
2022-08-31,29.1685,34.611595,0.21836253,29.16004
2022-09-01,29.568499,35.118107,0.21991755,29.16004
2022-09-02,28.847666,34.408165,0.21200593,29.16004
2022-09-03,28.472666,33.41016,0.17480047,29.16004
2022-09-04,27.3435,32.07594,0.19074816,29.16004
2022-09-05,26.456,31.122551,0.12960604,29.16004
2022-09-06,25.7435,30.524527,0.07010047,29.16004
2022-09-07,24.9685,29.269127,0.07632721,29.16004
2022-09-08,26.1435,30.848635,0.15099184,29.16004
2022-09-09,28.085167,32.841476,0.19327237,29.16004
2022-09-10,28.068499,32.77261,0.16935456,29.16004
2022-09-11,27.935165,32.640774,0.19184726,29.16004
2022-09-12,27.247665,32.886223,0.12955491,29.16004
2022-09-13,27.989334,33.224594,0.2214483,29.16004
2022-09-14,27.156,32.012783,0.21516682,29.16004
2022-09-15,26.189333,30.864767,0.07445933,29.16004
2022-09-16,27.481,31.843699,0.18160151,29.16004
2022-09-17,27.635168,32.045673,0.1713457,29.16004
2022-09-18,27.289331,31.561165,0.16771616,29.16004
2022-09-19,27.4685,30.883863,0.22298305,29.16004
2022-09-20,26.5185,31.269379,0.17258556,29.16004
2022-09-21,26.926834,31.600214,0.17276704,29.16004
2022-09-22,27.072668,31.518713,0.1948033,29.16004
2022-09-23,28.314333,32.588215,0.20922448,29.16004
2022-09-24,27.972666,32.62234,0.20151024,29.16004
2022-09-25,27.693499,32.618206,0.19806308,29.16004
2022-09-26,25.6185,30.331053,0.10730636,29.16004
2022-09-27,25.297667,28.672724,0.106468946,29.16004
2022-09-28,25.864334,29.173332,0.13511235,29.16004
2022-09-29,26.139334,30.475851,0.12880453,29.16004
2022-09-30,27.130999,32.12787,0.18983346,29.16004
2022-10-01,26.401833,31.85511,0.1591447,29.16004
2022-10-02,25.845583,31.035078,0.061421294,29.16004
2022-10-03,27.103918,31.613533,0.1480881,29.16004
2022-10-04,27.0935,32.32745,0.18046154,29.16004
2022-10-05,27.553917,31.88415,0.21308438,29.16004
2022-10-06,26.44975,31.93897,0.12786983,29.16004
2022-10-07,27.71225,33.090595,0.19562453,29.16004
2022-10-08,25.537249,30.118597,0.10582613,29.16004
2022-10-09,26.36225,30.916601,0.14102729,29.16004
2022-10-10,26.245583,31.122871,0.14136459,29.16004
2022-10-11,26.514334,31.61934,0.16848822,29.16004
2022-10-12,27.058083,32.127087,0.19784932,29.16004
2022-10-13,26.933083,30.43431,0.19712383,29.16004
2022-10-14,24.37475,27.35781,0.11360788,29.16004
2022-10-15,24.439333,27.171165,0.19986415,29.16004
2022-10-16,26.306,30.232306,0.17665946,29.16004
2022-10-17,27.564333,32.089672,0.18226089,29.16004
2022-10-18,26.733084,31.897062,0.2034835,29.16004
2022-10-19,25.728918,30.391058,0.16498081,29.16004
2022-10-20,26.360167,30.82054,0.18376617,29.16004
2022-10-21,27.426834,31.830122,0.18879487,29.16004
2022-10-22,27.595583,32.479786,0.19687448,29.16004
2022-10-23,27.260168,32.841568,0.16094537,29.16004
2022-10-24,27.541418,32.391872,0.16661279,29.16004
2022-10-25,27.326834,32.737034,0.17518921,29.16004
2022-10-26,27.153915,32.671833,0.18442285,29.16004
2022-10-27,25.176834,30.220322,0.08242001,29.16004
2022-10-28,26.099749,30.748274,0.1331852,29.16004
2022-10-29,26.464333,30.370247,0.18536675,29.16004
2022-10-30,26.276833,30.05558,0.16937299,29.16004
2022-10-31,27.276833,31.045511,0.20245604,29.16004
2022-11-01,26.476831,30.421728,0.1516805,29.16004
2022-11-02,26.116417,29.573465,0.16928512,29.16004
2022-11-03,25.853918,30.281569,0.17461045,29.16004
2022-11-04,25.114334,29.73996,0.10111185,29.16004
2022-11-05,25.583084,29.871378,0.14191599,29.16004
2022-11-06,26.056,30.67068,0.15148981,29.16004
